tier,PLAYER NAME,position_rank
1,Ja'Marr Chase,WR1
1,Bijan Robinson,RB1
1,Jahmyr Gibbs,RB2
1,Justin Jefferson,WR2
1,Saquon Barkley,RB3
1,CeeDee Lamb,WR3
2,Malik Nabers,WR4
2,Puka Nacua,WR5
2,Nico Collins,WR6
2,Amon-Ra St. Brown,WR7
2,Christian McCaffrey,RB4
2,Derrick Henry,RB5
2,Brian Thomas Jr.,WR8
2,Ashton Jeanty,RB6
2,De'Von Achane,RB7
3,Drake London,WR9
3,A.J. Brown,WR10
3,Brock Bowers,TE1
3,Jonathan Taylor,RB8
3,Josh Jacobs,RB9
3,Bucky Irving,RB10
3,Chase Brown,RB11
3,Trey McBride,TE2
3,Ladd McConkey,WR11
3,Kyren Williams,RB12
3,Josh Allen,QB1
4,Lamar Jackson,QB2
4,Tee Higgins,WR12
4,Jaxon Smith-Njigba,WR13
4,Tyreek Hill,WR14
4,Garrett Wilson,WR15
4,George Kittle,TE3
4,Davante Adams,WR16
4,Jayden Daniels,QB3
4,Mike Evans,WR17
4,Jalen Hurts,QB4
4,Breece Hall,RB13
4,Kenneth Walker III,RB14
4,James Cook,RB15
4,Omarion Hampton,RB16
4,Marvin Harrison Jr.,WR18
4,Terry McLaurin,WR19
4,Alvin Kamara,RB17
5,DJ Moore,WR20
5,Joe Burrow,QB5
5,Chuba Hubbard,RB18
5,DK Metcalf,WR21
5,James Conner,RB19
5,Courtland Sutton,WR22
5,DeVonta Smith,WR23
5,Jameson Williams,WR24
5,Zay Flowers,WR25
5,Tetairoa McMillan,WR26
5,TreVeyon Henderson,RB20
5,David Montgomery,RB21
5,Jaylen Waddle,WR27
5,Xavier Worthy,WR28
5,Rashee Rice,WR29
5,George Pickens,WR30
5,D'Andre Swift,RB22
5,Sam LaPorta,TE4
5,Calvin Ridley,WR31
6,Tony Pollard,RB23
6,RJ Harvey,RB24
6,Patrick Mahomes II,QB6
6,Isiah Pacheco,RB25
6,Aaron Jones Sr.,RB26
6,Travis Hunter,WR32
6,Chris Olave,WR33
6,T.J. Hockenson,TE5
6,Baker Mayfield,QB7
6,Kaleb Johnson,RB27
6,Jerry Jeudy,WR34
6,Brian Robinson Jr.,RB28
6,Joe Mixon,RB29
6,Rome Odunze,WR35
6,Bo Nix,QB8
6,Mark Andrews,TE6
6,Travis Kelce,TE7
6,Kyler Murray,QB9
6,Tyrone Tracy Jr.,RB30
6,Stefon Diggs,WR36
6,Jakobi Meyers,WR37
6,Jaylen Warren,RB31
7,Evan Engram,TE8
7,Justin Fields,QB10
7,Dak Prescott,QB11
7,Jordan Addison,WR38
7,Chris Godwin,WR39
7,David Njoku,TE9
7,Brock Purdy,QB12
7,Jauan Jennings,WR40
7,Ricky Pearsall,WR41
7,Travis Etienne Jr.,RB32
7,Jordan Mason,RB33
7,Deebo Samuel Sr.,WR42
7,Jayden Reed,WR43
7,Justin Herbert,QB13
7,Khalil Shakir,WR44
7,Tucker Kraft,TE10
7,Caleb Williams,QB14
7,Josh Downs,WR45
7,Jared Goff,QB15
7,Drake Maye,QB16
7,Rhamondre Stevenson,RB34
7,Zach Charbonnet,RB35
7,Javonte Williams,RB36
7,Jordan Love,QB17
7,Emeka Egbuka,WR46
7,Michael Pittman Jr.,WR47
7,Cooper Kupp,WR48
7,Cam Skattebo,RB37
7,Tank Bigsby,RB38
7,Tyler Warren,TE11
7,J.K. Dobbins,RB39
7,Tyjae Spears,RB40
7,Jake Ferguson,TE12
7,Najee Harris,RB41
7,Trevor Lawrence,QB18
8,Dalton Kincaid,TE13
8,Darnell Mooney,WR49
8,C.J. Stroud,QB19
8,Dallas Goedert,TE14
8,Rachaad White,RB42
8,Brandon Aiyuk,WR50
8,Keon Coleman,WR51
8,Rashid Shaheed,WR52
8,J.J. McCarthy,QB20
8,Matthew Golden,WR53
8,Colston Loveland,TE15
8,Ray Davis,RB43
8,Christian Kirk,WR54
8,Quinshon Judkins,RB44
8,Tyler Allgeier,RB45
8,Jerome Ford,RB46
8,Austin Ekeler,RB47
8,Kyle Pitts Sr.,TE16
8,Tua Tagovailoa,QB21
8,Rashod Bateman,WR55
8,Jaydon Blue,RB48
8,Trey Benson,RB49
8,Cedric Tillman,WR56
8,Luther Burden III,WR57
8,Braelon Allen,RB50
8,Matthew Stafford,QB22
8,Hunter Henry,TE17
8,Jonnu Smith,TE18
8,Bryce Young,QB23
8,Michael Penix Jr.,QB24
8,Marvin Mims Jr.,WR58
8,Isaac Guerendo,RB51
